comment,cleaning,normalisasi,tokenize,stopword
"tambahan, soalnya lulusan S.Kom lebih menekankan pada manajemen, utamanya manajemen enterprise, jadi walaupun sudah dikenalkan basic coding, tapi banyak yang masih belum menguasai kalau tidak mulai belajar otodidak",tambahan soalnya lulusan s kom lebih menekankan pada manajemen utamanya manajemen enterprise jadi walaupun sudah dikenalkan basic coding tapi banyak yang masih belum menguasai kalau tidak mulai belajar otodidak,tambahan soalnya lulusan sarjana komputer lebih menekankan pada manajemen utamanya manajemen enterprise jadi walaupun sudah dikenalkan basic coding tapi banyak yang masih belum menguasai kalau tidak mulai belajar otodidak,"['tambahan', 'soalnya', 'lulusan', 'sarjana', 'komputer', 'lebih', 'menekankan', 'pada', 'manajemen', 'utamanya', 'manajemen', 'enterprise', 'jadi', 'walaupun', 'sudah', 'dikenalkan', 'basic', 'coding', 'tapi', 'banyak', 'yang', 'masih', 'belum', 'menguasai', 'kalau', 'tidak', 'mulai', 'belajar', 'otodidak']",tambahan lulusan sarjana komputer menekankan manajemen utamanya manajemen enterprise dikenalkan basic coding menguasai belajar otodidak
"Sama aja kayak tkj di smk, per dua semester punya kompetensi pembelajaran waktu nya masing masing. Makanya ilmu it tuh mahal bre dan ga bisa ga mudah kalo cuman ngandelin ilmu di sekolahan aja, perlu ngelatih softskill masing masing secara otodidak",sama aja kayak tkj di smk per dua semester punya kompetensi pembelajaran waktu nya masing masing makanya ilmu it tuh mahal bre dan ga bisa ga mudah kalo cuman ngandelin ilmu di sekolahan aja perlu ngelatih softskill masing masing secara otodidak,sama saja kayak tkj di per dua semester punya kompetensi pembelajaran waktu ya masing masing makanya ilmu tuh mahal bre dan tidak bisa tidak mudah kalau cuman ngandelin ilmu di sekolahan saja perlu ngelatih softskill masing masing secara otodidak,"['sama', 'saja', 'kayak', 'tkj', 'di', 'per', 'dua', 'semester', 'punya', 'kompetensi', 'pembelajaran', 'waktu', 'ya', 'masing', 'masing', 'makanya', 'ilmu', 'tuh', 'mahal', 'bre', 'dan', 'tidak', 'bisa', 'tidak', 'mudah', 'kalau', 'cuman', 'ngandelin', 'ilmu', 'di', 'sekolahan', 'saja', 'perlu', 'ngelatih', 'softskill', 'masing', 'masing', 'secara', 'otodidak']",kayak tkj semester kompetensi pembelajaran ya ilmu tuh mahal bre mudah cuman ngandelin ilmu sekolahan ngelatih softskill otodidak
"Dan akhirnya ga semua ilmu bisa terserap dan dipahami secara menyeluruh, angkatan gua aja pas ujikom 70% nya ga lulus karena ilmu pemebelajaran tentang mikrotik cuman 2 semester doang dan itu belum setengah nya materi diajarin di sekolah 😂",dan akhirnya ga semua ilmu bisa terserap dan dipahami secara menyeluruh angkatan gua aja pas ujikom nya ga lulus karena ilmu pemebelajaran tentang mikrotik cuman semester doang dan itu belum setengah nya materi diajarin di sekolah,dan akhirnya tidak semua ilmu bisa terserap dan dipahami secara menyeluruh angkatan gua saja pas ujikom ya tidak lulus karena ilmu pemebelajaran tentang mikrotik cuman semester doang dan itu belum setengah ya materi diajari di sekolah,"['dan', 'akhirnya', 'tidak', 'semua', 'ilmu', 'bisa', 'terserap', 'dan', 'dipahami', 'secara', 'menyeluruh', 'angkatan', 'gua', 'saja', 'pas', 'ujikom', 'ya', 'tidak', 'lulus', 'karena', 'ilmu', 'pemebelajaran', 'tentang', 'mikrotik', 'cuman', 'semester', 'doang', 'dan', 'itu', 'belum', 'setengah', 'ya', 'materi', 'diajari', 'di', 'sekolah']",ilmu terserap dipahami angkatan gua pas ujikom ya lulus ilmu pemebelajaran mikrotik cuman semester doang ya materi diajari sekolah
Permisi bang &amp; kawan lainnya barangkali tau.<br>Saya mau ambil data di situs univ. emang punya username &amp; pass. Ngecek data bayaran udah/ belom. Nah ini <b>harus masukin satu satu</b> nim nya... Bisa otomatis gak ya? Atau biar cepat gimana<br>Terima kasih,permisi bang amp kawan lainnya barangkali tau saya mau ambil data di situs univ emang punya username amp pass ngecek data bayaran udah belom nah ini harus masukin satu satu nim nya bisa otomatis gak ya atau biar cepat gimana terima kasih,permisi abang amp kawan lainnya barangkali tau saya mau ambil data di situs universitas memang punya username amp pas mengecek data bayaran sudah belum nah ini harus memasuki satu satu nim ya bisa otomatis tidak ya atau biar cepat bagaimana terima kasih,"['permisi', 'abang', 'amp', 'kawan', 'lainnya', 'barangkali', 'tau', 'saya', 'mau', 'ambil', 'data', 'di', 'situs', 'universitas', 'memang', 'punya', 'username', 'amp', 'pas', 'mengecek', 'data', 'bayaran', 'sudah', 'belum', 'nah', 'ini', 'harus', 'memasuki', 'satu', 'satu', 'nim', 'ya', 'bisa', 'otomatis', 'tidak', 'ya', 'atau', 'biar', 'cepat', 'bagaimana', 'terima', 'kasih']",permisi abang amp kawan barangkali tau ambil data situs universitas username amp pas mengecek data bayaran memasuki nim ya otomatis ya biar cepat terima kasih
Info situs atau channel belajar ngoding sampe jdi programing bang,info situs atau channel belajar ngoding sampe jdi programing bang,info situs atau channel belajar coding sampai jadi programing abang,"['info', 'situs', 'atau', 'channel', 'belajar', 'coding', 'sampai', 'jadi', 'programing', 'abang']",info situs channel belajar coding programing abang
"Wakakaka S Kom kok ga bisa coding,  memalukan , saya aja udah coding sebelum kuliah Teknik informatika, 😂😂",wakakaka s kom kok ga bisa coding memalukan saya aja udah coding sebelum kuliah teknik informatika,wakakaka sarjana komputer kok tidak bisa coding memalukan saya saja sudah coding sebelum kuliah teknik informatika,"['wakakaka', 'sarjana', 'komputer', 'kok', 'tidak', 'bisa', 'coding', 'memalukan', 'saya', 'saja', 'sudah', 'coding', 'sebelum', 'kuliah', 'teknik', 'informatika']",wakakaka sarjana komputer coding memalukan coding kuliah teknik informatika
"IT dan pemprograman itu beda, IT engga di suruh buat program tapi bagian IT yang kerjaan nya buat sistem nya ajah bukan program nya.",it dan pemprograman itu beda it engga di suruh buat program tapi bagian it yang kerjaan nya buat sistem nya ajah bukan program nya,dan pemprograman itu beda tidak di suruh buat program tapi bagian yang pekerjaan ya buat sistem ya saja bukan program ya,"['dan', 'pemprograman', 'itu', 'beda', 'tidak', 'di', 'suruh', 'buat', 'program', 'tapi', 'bagian', 'yang', 'pekerjaan', 'ya', 'buat', 'sistem', 'ya', 'saja', 'bukan', 'program', 'ya']",pemprograman beda suruh program pekerjaan ya sistem ya program ya
"Dikampus diwanti2 kok sama dosen, semester 4 keatas fokus kuatin 1 jalur, jaringan,, program, design, , web, , teknisi, service hardware, software, jangan dipelajari semua intinya, jd wajar klo ga bisa koding, sapa tau dia bisa jaringan atau desain",dikampus diwanti kok sama dosen semester keatas fokus kuatin jalur jaringan program design web teknisi service hardware software jangan dipelajari semua intinya jd wajar klo ga bisa koding sapa tau dia bisa jaringan atau desain,dikampus diwanti kok sama dosen semester keatas fokus kuatin jalur jaringan program design web teknisi service hardware software jangan dipelajari semua intinya jadi wajar kalau tidak bisa koding sapa tau dia bisa jaringan atau desain,"['dikampus', 'diwanti', 'kok', 'sama', 'dosen', 'semester', 'keatas', 'fokus', 'kuatin', 'jalur', 'jaringan', 'program', 'design', 'web', 'teknisi', 'service', 'hardware', 'software', 'jangan', 'dipelajari', 'semua', 'intinya', 'jadi', 'wajar', 'kalau', 'tidak', 'bisa', 'koding', 'sapa', 'tau', 'dia', 'bisa', 'jaringan', 'atau', 'desain']",dikampus diwanti dosen semester keatas fokus kuatin jalur jaringan program design web teknisi service hardware software dipelajari intinya wajar koding sapa tau jaringan desain
Bener sih saya kuliah D3 tehnik komputer Sampek sekarang gak bisa ngoding. Tapi saya dalami ke arah problem solve dasar aja. Mau lanjut belajar otak udah penuh dengan masalah ekonomi keluarga.😅😅😅😅,bener sih saya kuliah d tehnik komputer sampek sekarang gak bisa ngoding tapi saya dalami ke arah problem solve dasar aja mau lanjut belajar otak udah penuh dengan masalah ekonomi keluarga,benar sih saya kuliah di tehnik komputer sampai sekarang tidak bisa coding tapi saya dalami ke arah problem solve dasar saja mau lanjut belajar otak sudah penuh dengan masalah ekonomi keluarga,"['benar', 'sih', 'saya', 'kuliah', 'di', 'tehnik', 'komputer', 'sampai', 'sekarang', 'tidak', 'bisa', 'coding', 'tapi', 'saya', 'dalami', 'ke', 'arah', 'problem', 'solve', 'dasar', 'saja', 'mau', 'lanjut', 'belajar', 'otak', 'sudah', 'penuh', 'dengan', 'masalah', 'ekonomi', 'keluarga']",sih kuliah tehnik komputer coding dalami arah problem solve dasar belajar otak penuh ekonomi keluarga
Kalo bisa ngodoing tapigk bisa bahasa ingris gimana bang ...,kalo bisa ngodoing tapigk bisa bahasa ingris gimana bang,kalau bisa ngodoing tapigk bisa bahasa ingris bagaimana abang,"['kalau', 'bisa', 'ngodoing', 'tapigk', 'bisa', 'bahasa', 'ingris', 'bagaimana', 'abang']",ngodoing tapigk bahasa ingris abang
"Ngoding * , dan saya otodidak",ngoding dan saya otodidak,coding dan saya otodidak,"['coding', 'dan', 'saya', 'otodidak']",coding otodidak
"Gw sebagai mahasiswa Sistem Informasi yg sekarang udah semester 7 merasa bahwa yg dikatakan masnya ini benar,soalnya apa? Karena apa yg kita pelajari di perkuliahan itu hanya dasar dari ngoding saja,sedangkan bahasa pemrograman itu terdiri dari jutaan bahasa,jadi kita tidak bisa memakai sistem hafalan untuk itu,karena kita harus paham apa fungsi dari setiap bahasa tersebut dan kita juga harus tau alur dari program yg kita buat.Saya sebagai lulusan SMA (IPS) yg tidak minat masuk kuliah IT (Sistem Informasi) benar² merasa kesulitan,ketika belajar sendiri di rumah pun saya merasa kesulitan,bahkan dari saya sendiri mungkin yg masih agak² mudah ya HTML",gw sebagai mahasiswa sistem informasi yg sekarang udah semester merasa bahwa yg dikatakan masnya ini benar soalnya apa karena apa yg kita pelajari di perkuliahan itu hanya dasar dari ngoding saja sedangkan bahasa pemrograman itu terdiri dari jutaan bahasa jadi kita tidak bisa memakai sistem hafalan untuk itu karena kita harus paham apa fungsi dari setiap bahasa tersebut dan kita juga harus tau alur dari program yg kita buat saya sebagai lulusan sma ips yg tidak minat masuk kuliah it sistem informasi benar merasa kesulitan ketika belajar sendiri di rumah pun saya merasa kesulitan bahkan dari saya sendiri mungkin yg masih agak mudah ya html,gue sebagai mahasiswa sistem informasi yang sekarang sudah semester merasa bahwa yang dikatakan masnya ini benar soalnya apa karena apa yang kita pelajari di perkuliahan itu hanya dasar dari coding saja sedangkan bahasa pemrograman itu terdiri dari jutaan bahasa jadi kita tidak bisa memakai sistem hafalan untuk itu karena kita harus paham apa fungsi dari setiap bahasa tersebut dan kita juga harus tau alur dari program yang kita buat saya sebagai lulusan sama ips yang tidak minat masuk kuliah sistem informasi benar merasa kesulitan ketika belajar sendiri di rumah pun saya merasa kesulitan bahkan dari saya sendiri mungkin yang masih agak mudah ya html,"['gue', 'sebagai', 'mahasiswa', 'sistem', 'informasi', 'yang', 'sekarang', 'sudah', 'semester', 'merasa', 'bahwa', 'yang', 'dikatakan', 'masnya', 'ini', 'benar', 'soalnya', 'apa', 'karena', 'apa', 'yang', 'kita', 'pelajari', 'di', 'perkuliahan', 'itu', 'hanya', 'dasar', 'dari', 'coding', 'saja', 'sedangkan', 'bahasa', 'pemrograman', 'itu', 'terdiri', 'dari', 'jutaan', 'bahasa', 'jadi', 'kita', 'tidak', 'bisa', 'memakai', 'sistem', 'hafalan', 'untuk', 'itu', 'karena', 'kita', 'harus', 'paham', 'apa', 'fungsi', 'dari', 'setiap', 'bahasa', 'tersebut', 'dan', 'kita', 'juga', 'harus', 'tau', 'alur', 'dari', 'program', 'yang', 'kita', 'buat', 'saya', 'sebagai', 'lulusan', 'sama', 'ips', 'yang', 'tidak', 'minat', 'masuk', 'kuliah', 'sistem', 'informasi', 'benar', 'merasa', 'kesulitan', 'ketika', 'belajar', 'sendiri', 'di', 'rumah', 'pun', 'saya', 'merasa', 'kesulitan', 'bahkan', 'dari', 'saya', 'sendiri', 'mungkin', 'yang', 'masih', 'agak', 'mudah', 'ya', 'html']",gue mahasiswa sistem informasi semester masnya pelajari perkuliahan dasar coding bahasa pemrograman jutaan bahasa memakai sistem hafalan paham fungsi bahasa tau alur program lulusan ips minat masuk kuliah sistem informasi kesulitan belajar rumah kesulitan mudah ya html
Lebih worth it ikut kursus atau bootcamp kah ?,lebih worth it ikut kursus atau bootcamp kah,lebih worth ikut kursus atau bootcamp kah,"['lebih', 'worth', 'ikut', 'kursus', 'atau', 'bootcamp', 'kah']",worth kursus bootcamp kah
Ada komunikasi data juga kan.<br><br>Dan itu gk ngoding tapi ngotak,ada komunikasi data juga kan dan itu gk ngoding tapi ngotak,ada komunikasi data juga kan dan itu tidak coding tapi ngotak,"['ada', 'komunikasi', 'data', 'juga', 'kan', 'dan', 'itu', 'tidak', 'coding', 'tapi', 'ngotak']",komunikasi data coding ngotak
"Emang betul ini saya mahasiswa tingkat ahkir, ga pernah diajarakan membuat 1 web jadi. Hanya copy paste sehingga mahasiswa ga ngerti apa ",emang betul ini saya mahasiswa tingkat ahkir ga pernah diajarakan membuat web jadi hanya copy paste sehingga mahasiswa ga ngerti apa,memang betul ini saya mahasiswa tingkat ahkir tidak pernah diajarakan membuat web jadi hanya copy paste sehingga mahasiswa tidak mengerti apa,"['memang', 'betul', 'ini', 'saya', 'mahasiswa', 'tingkat', 'ahkir', 'tidak', 'pernah', 'diajarakan', 'membuat', 'web', 'jadi', 'hanya', 'copy', 'paste', 'sehingga', 'mahasiswa', 'tidak', 'mengerti', 'apa']",mahasiswa tingkat ahkir diajarakan web copy paste mahasiswa mengerti
"Aneh kuliahnya nih, masa dikasih basic doang",aneh kuliahnya nih masa dikasih basic doang,aneh kuliahnya nih masa dikasih basic doang,"['aneh', 'kuliahnya', 'nih', 'masa', 'dikasih', 'basic', 'doang']",aneh kuliahnya nih dikasih basic doang
ya kalau gitu lebih baik kursus dripda kuliah kalo pingin ilmunya...tp klo cuma mau gelar doang y kuliah😂,ya kalau gitu lebih baik kursus dripda kuliah kalo pingin ilmunya tp klo cuma mau gelar doang y kuliah,ya kalau begitu lebih baik kursus daripada kuliah kalau pengin ilmunya tapi kalau cuma mau gelar doang ya kuliah,"['ya', 'kalau', 'begitu', 'lebih', 'baik', 'kursus', 'daripada', 'kuliah', 'kalau', 'pengin', 'ilmunya', 'tapi', 'kalau', 'cuma', 'mau', 'gelar', 'doang', 'ya', 'kuliah']",ya kursus kuliah pengin ilmunya gelar doang ya kuliah
Sebenarnya malu tapi itulah realita nya,sebenarnya malu tapi itulah realita nya,sebenarnya malu tapi itulah realita ya,"['sebenarnya', 'malu', 'tapi', 'itulah', 'realita', 'ya']",malu realita ya
"Kan pas penjurusan jg beda2 lg, ada yg multimedia, jaringan, robotik, database. Emng informatika ga koding doang isinya ilmu komputer tuh luas tinggal sesuain minatnya apa. Klo mau ngikutin yg meta ya harus siap saingannya banyak",kan pas penjurusan jg beda lg ada yg multimedia jaringan robotik database emng informatika ga koding doang isinya ilmu komputer tuh luas tinggal sesuain minatnya apa klo mau ngikutin yg meta ya harus siap saingannya banyak,kan pas penjurusan juga beda lagi ada yang multimedia jaringan robotik database memang informatika tidak koding doang isinya ilmu komputer tuh luas tinggal sesuain minatnya apa kalau mau mengikuti yang meta ya harus siap saingannya banyak,"['kan', 'pas', 'penjurusan', 'juga', 'beda', 'lagi', 'ada', 'yang', 'multimedia', 'jaringan', 'robotik', 'database', 'memang', 'informatika', 'tidak', 'koding', 'doang', 'isinya', 'ilmu', 'komputer', 'tuh', 'luas', 'tinggal', 'sesuain', 'minatnya', 'apa', 'kalau', 'mau', 'mengikuti', 'yang', 'meta', 'ya', 'harus', 'siap', 'saingannya', 'banyak']",pas penjurusan beda multimedia jaringan robotik database informatika koding doang isinya ilmu komputer tuh luas tinggal sesuain minatnya mengikuti meta ya saingannya
yg dipelajari selama kuliah:  cuma CoPas tugas2 yg dikerjain temen  wkwkwk,yg dipelajari selama kuliah cuma copas tugas yg dikerjain temen wkwkwk,yang dipelajari selama kuliah cuma copas tugas yang dikerjain teman wkwkwk,"['yang', 'dipelajari', 'selama', 'kuliah', 'cuma', 'copas', 'tugas', 'yang', 'dikerjain', 'teman', 'wkwkwk']",dipelajari kuliah copas tugas dikerjain teman wkwkwk
Ya rugi kwkwkw mending belajar di codesaya.<br>Hacksite<br>Hacksruabaya gua belajar disitu semua,ya rugi kwkwkw mending belajar di codesaya hacksite hacksruabaya gua belajar disitu semua,ya rugi kwkwkw mending belajar di codesaya hacksite hacksruabaya gua belajar disitu semua,"['ya', 'rugi', 'kwkwkw', 'mending', 'belajar', 'di', 'codesaya', 'hacksite', 'hacksruabaya', 'gua', 'belajar', 'disitu', 'semua']",ya rugi kwkwkw mending belajar codesaya hacksite hacksruabaya gua belajar disitu
Gw salah satu yang menjadi S. Komedi,gw salah satu yang menjadi s komedi,gue salah satu yang menjadi sarjana komedi,"['gue', 'salah', 'satu', 'yang', 'menjadi', 'sarjana', 'komedi']",gue salah sarjana komedi
"bener,, sekolah bertahun tahun cuma pengenalan doang",bener sekolah bertahun tahun cuma pengenalan doang,benar sekolah bertahun tahun cuma pengenalan doang,"['benar', 'sekolah', 'bertahun', 'tahun', 'cuma', 'pengenalan', 'doang']",sekolah bertahun pengenalan doang
"Berarti kesimpulannya, kemampuan coding itu seharusnya based on experience sendiri, artinya bener kata mas ini bahwa semua orang bisa menguasai keterampilan coding secara otodidak, asalkan dia konsisten dan hobi programming.",berarti kesimpulannya kemampuan coding itu seharusnya based on experience sendiri artinya bener kata mas ini bahwa semua orang bisa menguasai keterampilan coding secara otodidak asalkan dia konsisten dan hobi programming,berarti kesimpulannya kemampuan coding itu seharusnya based on experience sendiri artinya benar kata mas ini bahwa semua orang bisa menguasai keterampilan coding secara otodidak asalkan dia konsisten dan hobi programming,"['berarti', 'kesimpulannya', 'kemampuan', 'coding', 'itu', 'seharusnya', 'based', 'on', 'experience', 'sendiri', 'artinya', 'benar', 'kata', 'mas', 'ini', 'bahwa', 'semua', 'orang', 'bisa', 'menguasai', 'keterampilan', 'coding', 'secara', 'otodidak', 'asalkan', 'dia', 'konsisten', 'dan', 'hobi', 'programming']",kesimpulannya kemampuan coding based on experience mas orang menguasai keterampilan coding otodidak konsisten hobi programming
"Sedangkan perusahaan indo penginnya level senior, dengan gaji internship 🗿.<br><br>Mending kalian cari kerja keluar negeri aja, bisa hal kecil kyk desain UI aja dihargai banget kok",sedangkan perusahaan indo penginnya level senior dengan gaji internship mending kalian cari kerja keluar negeri aja bisa hal kecil kyk desain ui aja dihargai banget kok,sedangkan perusahaan indonesia penginnya level senior dengan gaji internship mending kalian cari kerja keluar negeri saja bisa hal kecil kayak desain ui saja dihargai banget kok,"['sedangkan', 'perusahaan', 'indonesia', 'penginnya', 'level', 'senior', 'dengan', 'gaji', 'internship', 'mending', 'kalian', 'cari', 'kerja', 'keluar', 'negeri', 'saja', 'bisa', 'hal', 'kecil', 'kayak', 'desain', 'ui', 'saja', 'dihargai', 'banget', 'kok']",perusahaan indonesia penginnya level senior gaji internship mending cari kerja negeri kayak desain ui dihargai banget
"Saya SMK belajar Pascal , Delphi,c++ , mysql ..pusing pusing😂😂😂",saya smk belajar pascal delphi c mysql pusing pusing,saya belajar pascal delphi sih mysql pusing pusing,"['saya', 'belajar', 'pascal', 'delphi', 'sih', 'mysql', 'pusing', 'pusing']",belajar pascal delphi sih mysql pusing pusing
"kuliah pusing doank, pengen belajar di bidang IT malah makul nya kewarganegaraan, akutansi, agama, kalkulus dll ngak perlu2 bget.",kuliah pusing doank pengen belajar di bidang it malah makul nya kewarganegaraan akutansi agama kalkulus dll ngak perlu bget,kuliah pusing doang pengin belajar di bidang malah makul ya kewarganegaraan akutansi agama kalkulus dll tidak perlu banget,"['kuliah', 'pusing', 'doang', 'pengin', 'belajar', 'di', 'bidang', 'malah', 'makul', 'ya', 'kewarganegaraan', 'akutansi', 'agama', 'kalkulus', 'dll', 'tidak', 'perlu', 'banget']",kuliah pusing doang pengin belajar bidang makul ya kewarganegaraan akutansi agama kalkulus dll banget
"Ya betul, klau gk belajar sendiri bingung sendiri, semester awal belajar lain, semester selanjutnya belajar lain, gk fokus dan gk tau kita ini belajar apa 🗿",ya betul klau gk belajar sendiri bingung sendiri semester awal belajar lain semester selanjutnya belajar lain gk fokus dan gk tau kita ini belajar apa,ya betul kalau tidak belajar sendiri bingung sendiri semester awal belajar lain semester selanjutnya belajar lain tidak fokus dan tidak tau kita ini belajar apa,"['ya', 'betul', 'kalau', 'tidak', 'belajar', 'sendiri', 'bingung', 'sendiri', 'semester', 'awal', 'belajar', 'lain', 'semester', 'selanjutnya', 'belajar', 'lain', 'tidak', 'fokus', 'dan', 'tidak', 'tau', 'kita', 'ini', 'belajar', 'apa']",ya belajar bingung semester belajar semester belajar fokus tau belajar
Dikampus kebanyakan bukan pendalaman salah satu bahasa tapi langsung banyak bahasa😂,dikampus kebanyakan bukan pendalaman salah satu bahasa tapi langsung banyak bahasa,dikampus kebanyakan bukan pendalaman salah satu bahasa tapi langsung banyak bahasa,"['dikampus', 'kebanyakan', 'bukan', 'pendalaman', 'salah', 'satu', 'bahasa', 'tapi', 'langsung', 'banyak', 'bahasa']",dikampus kebanyakan pendalaman salah bahasa langsung bahasa
ya Contohnya gw. lulusan S1 Sistem Informasi universitas G taun 2010. sekarang gbsa ngoding sama sekali. gw malah terjun ke Industri Animasi dan sempet di Level Senior / Lead disalah satu Studio Animasi di Jakarta dan skrng malah jadi Freelance hahahaha. gw gbsa ngoding,ya contohnya gw lulusan s sistem informasi universitas g taun sekarang gbsa ngoding sama sekali gw malah terjun ke industri animasi dan sempet di level senior lead disalah satu studio animasi di jakarta dan skrng malah jadi freelance hahahaha gw gbsa ngoding,ya contohnya gue lulusan sarjana sistem informasi universitas tidak tahun sekarang gbsa coding sama sekali gue malah terjun ke industri animasi dan sempat di level senior lead disalah satu studio animasi di jakarta dan sekarang malah jadi freelance hahahaha gue gbsa coding,"['ya', 'contohnya', 'gue', 'lulusan', 'sarjana', 'sistem', 'informasi', 'universitas', 'tidak', 'tahun', 'sekarang', 'gbsa', 'coding', 'sama', 'sekali', 'gue', 'malah', 'terjun', 'ke', 'industri', 'animasi', 'dan', 'sempat', 'di', 'level', 'senior', 'lead', 'disalah', 'satu', 'studio', 'animasi', 'di', 'jakarta', 'dan', 'sekarang', 'malah', 'jadi', 'freelance', 'hahahaha', 'gue', 'gbsa', 'coding']",ya contohnya gue lulusan sarjana sistem informasi universitas gbsa coding gue terjun industri animasi level senior lead disalah studio animasi jakarta freelance hahahaha gue gbsa coding
bang info web freelance,bang info web freelance,abang info web freelance,"['abang', 'info', 'web', 'freelance']",abang info web freelance
Kebanyakan pacaran paling,kebanyakan pacaran paling,kebanyakan pacaran paling,"['kebanyakan', 'pacaran', 'paling']",kebanyakan pacaran
"Jujur saya juga baru belajar ngoding, karna saya baru pindah jurusan dari multimedia ke programming, di semester 7 dan 8 dan saya kelabakan bikin web penjualan😅😅😅",jujur saya juga baru belajar ngoding karna saya baru pindah jurusan dari multimedia ke programming di semester dan dan saya kelabakan bikin web penjualan,jujur saya juga baru belajar coding karena saya baru pindah jurusan dari multimedia ke programming di semester dan dan saya kelabakan bikin web penjualan,"['jujur', 'saya', 'juga', 'baru', 'belajar', 'coding', 'karena', 'saya', 'baru', 'pindah', 'jurusan', 'dari', 'multimedia', 'ke', 'programming', 'di', 'semester', 'dan', 'dan', 'saya', 'kelabakan', 'bikin', 'web', 'penjualan']",jujur belajar coding pindah jurusan multimedia programming semester kelabakan bikin web penjualan
"Saya donk, s.kom nga bisa ngoding wkakaka 😅",saya donk s kom nga bisa ngoding wkakaka,saya dong sarjana komputer tidak bisa coding wkakaka,"['saya', 'dong', 'sarjana', 'komputer', 'tidak', 'bisa', 'coding', 'wkakaka']",sarjana komputer coding wkakaka
"yang dipelajari hanya dasarnya aja, kalo mau fokus jadi programing mending ambil kursus dah,",yang dipelajari hanya dasarnya aja kalo mau fokus jadi programing mending ambil kursus dah,yang dipelajari hanya dasarnya saja kalau mau fokus jadi programing mending ambil kursus sudah,"['yang', 'dipelajari', 'hanya', 'dasarnya', 'saja', 'kalau', 'mau', 'fokus', 'jadi', 'programing', 'mending', 'ambil', 'kursus', 'sudah']",dipelajari dasarnya fokus programing mending ambil kursus
Kelemahan pendidikan Indonesia yh gini sih,kelemahan pendidikan indonesia yh gini sih,kelemahan pendidikan indonesia ya begini sih,"['kelemahan', 'pendidikan', 'indonesia', 'ya', 'begini', 'sih']",kelemahan pendidikan indonesia ya sih
"Memang bg, tugas temen gue, yang buatin gue bg,jadi kalau program gue jadi dia juga jadi kalau gue gagal temen gue juga gagal 😂",memang bg tugas temen gue yang buatin gue bg jadi kalau program gue jadi dia juga jadi kalau gue gagal temen gue juga gagal,memang bang tugas teman gue yang membuat gue bang jadi kalau program gue jadi dia juga jadi kalau gue gagal teman gue juga gagal,"['memang', 'bang', 'tugas', 'teman', 'gue', 'yang', 'membuat', 'gue', 'bang', 'jadi', 'kalau', 'program', 'gue', 'jadi', 'dia', 'juga', 'jadi', 'kalau', 'gue', 'gagal', 'teman', 'gue', 'juga', 'gagal']",bang tugas teman gue gue bang program gue gue gagal teman gue gagal
Betull bet . Betul tull.<br>Ngoding rata² otodidak 😅. G perlu kuliah klo cuman pgn ngoding,betull bet betul tull ngoding rata otodidak g perlu kuliah klo cuman pgn ngoding,betull banget betul tull coding rata otodidak tidak perlu kuliah kalau cuman pengin coding,"['betull', 'banget', 'betul', 'tull', 'coding', 'rata', 'otodidak', 'tidak', 'perlu', 'kuliah', 'kalau', 'cuman', 'pengin', 'coding']",betull banget tull coding otodidak kuliah cuman pengin coding
alhamdulilah jurusan informatika,alhamdulilah jurusan informatika,alhamdulilah jurusan informatika,"['alhamdulilah', 'jurusan', 'informatika']",alhamdulilah jurusan informatika
Mending kursus kalau gitu,mending kursus kalau gitu,mending kursus kalau begitu,"['mending', 'kursus', 'kalau', 'begitu']",mending kursus
Apa kabar dengan D3 kek gw yang manajemen informatika 🤣🤣🤣 <br>Hancur lah . Otak kurang mampu mencerna,apa kabar dengan d kek gw yang manajemen informatika hancur lah otak kurang mampu mencerna,apa kabar dengan di kayak gue yang manajemen informatika hancur lah otak kurang mampu mencerna,"['apa', 'kabar', 'dengan', 'di', 'kayak', 'gue', 'yang', 'manajemen', 'informatika', 'hancur', 'lah', 'otak', 'kurang', 'mampu', 'mencerna']",kabar kayak gue manajemen informatika hancur otak mencerna
"selama kuliah belajar apa ? kalau di daerah Bandung atau kampus jawa barat lainnya , mereka semakin mahir  HARDOLIN (Dahar , Modol , Ulin) atau HARMOKO (Dahar , Modol , Ngaroko)",selama kuliah belajar apa kalau di daerah bandung atau kampus jawa barat lainnya mereka semakin mahir hardolin dahar modol ulin atau harmoko dahar modol ngaroko,selama kuliah belajar apa kalau di daerah bandung atau kampus jawa barat lainnya mereka semakin mahir hardolin dahar modol ulin atau harmoko dahar modol ngaroko,"['selama', 'kuliah', 'belajar', 'apa', 'kalau', 'di', 'daerah', 'bandung', 'atau', 'kampus', 'jawa', 'barat', 'lainnya', 'mereka', 'semakin', 'mahir', 'hardolin', 'dahar', 'modol', 'ulin', 'atau', 'harmoko', 'dahar', 'modol', 'ngaroko']",kuliah belajar daerah bandung kampus jawa barat mahir hardolin dahar modol ulin harmoko dahar modol ngaroko
